class_id,subject_id,teacher_id,periods_per_week,room_id
11,CHEM109,rashed,1,
11,CHEM109,nobi,1,
11,CHEM109,miran,1,
11,CHEM114,shakila,1,
11,EEE159,tbu,3,
11,EEE160,ehsan,1,
11,MATH161,rana,1,
11,MATH161,alim,1,
11,MATH161,israt,2,
11,ME101,MAR2,1,
11,ME101,AKM,1,
11,ME101,NH,1,
11,ME160,tbu,1,
11,PHY105,nasreen,1,
11,PHY105,ratan,1,
11,PHY105,jellur,1,
11,SHOP160,rajib,1,
12,CHEM141,kaium,1,
12,CHEM141,chanchal,2,
12,HUM103,rauf,2,
12,HUM103,mahfuzur,1,
12,HUM101,rahul,1,
12,HUM101,rakinul,1,
12,HUM101,motaleb,1,
12,MATH163,halim,2,
12,MATH163,mashud,2,
12,ME171,SMS,1,
12,ME171,MM,2,
12,ME172,MA,1,
12,PHY102,tbu,1,
12,PHY159,azizar,1,
12,PHY159,mostak,1,
12,PHY159,basith,1,
12,SHOP170,shopper,1,
21,EEE259,tbu,3,
21,EEE260,rahim,1,
21,HUM303,h1,1,
21,HUM303,h2,1,
21,HUM303,h3,1,
21,MATH261,rana,1,
21,MATH261,alim,1,
21,MATH261,israt,2,
21,ME203,mzh,2,
21,ME203,AS,1,
21,ME204,tbu,1,
21,ME247,MAM,2,
21,ME247,MAA,1,
31,IPE331,NRD,1,
31,IPE331,ABMM,1,
31,IPE331,NAS,1,
31,IPE332,ipe332,1,
31,ME305,NH,1,
31,ME305,SS,2,
31,ME306,tbu,1,
31,ME321,MMR,2,
31,ME321,TH,1,
31,ME349,MASA,1,
31,ME349,SC,2,
31,ME350,tbu,1,
31,ME361,MM,1,
31,ME361,KAR,2,
31,ME366,me366,1,
